
  'body length' | mean length (unfed ) | mm
  'body length' | mean length (engorged ) | mm
  'body width' | mean width (unfed) | mm
  'body width' | mean width (engorged) | mm

--- Cluster 13 (10 members) ---
  'premolt period (nymphal)' | mean duration of nymphal premolting phase | days
  'premolt period (larval)' | mean duration of larval premolting phase | days
  'premolt period (nymphal)' | mean time to complete nymphal moulting | days
  'premolt period (larval)' | mean time to complete larval moulting | days
  'premolt period (larval)' | mean duration of life stage | days
  'premolt period' | mean duration of life stage | days
  'premolt period (nymphal)' | mean duration of life stage | days
  'prefeeding period (nymphal)' | mean duration of life stage | days
  'premolting period' | mean Premolting Period in days at larval state ... | days
  'premolting period' | mean Premolting Period in days at nymph state a... | days

--- Cluster 14 (6 members) ---
  'survival time' | mean survival time of fasting larvae | days
  'survival time' | mean survival time of larvae post hatch | days
  'survival time' | mean time for egg survival | days
  'survival time' | mean time for unfed larva survival | days
  'survival time' | mean time for unfed adult survival | days
  'survival time' | mean time for engorged adult survival | days

--- Cluster 15 (12 members) ---
  'survival rate' | percentage of ticks that survived the larval stage | percent
  'survival rate' | percentage of ticks that survived the larval moult | percent
  'survival rate' | percentage of ticks that survived the nymphal m... | percent
  'survival rate' | percentage of ticks that survived adult engorge... | percent
  'survival rate' | percentage of ticks that survived the nymphal s... | percent
  'survival rate' | percentage of ticks that survived the adult stage | percent
  'survival rate' | percentage of starved larval ticks that survive... | percent
  'survival rate' | percentage of ticks that survived at 5 degrees ... | percent
  'survival rate' | percentage of ticks that survived at 17 degrees... | percent
  'survival rate' | percentage of ticks that survived at 24 degrees... | percent
  'survival rate' | percentage of ticks that survived at 30 degrees... | percent
  'survival rate' | percentage of larval ticks that molted followin... | percent

--- Cluster 16 (14 members) ---
  'hatching rate' | percent surviving life stage | percent
  'hatching rate' | mean duration of life stage | percent
  'hatch time' | mean duration of life stage | hours
  'hatchability' | mean percentage of eggs hatching | percent
  'hatch rate' | mean hatching rate of egg batches | percent
  'larval hatch rate' | percentage of unfertilized eggs that were subse... | percent
  'hatch rate' | percentage of unfertilized eggs that were subse... | percent
  'hatch rate' | percentage of egg masses producing larvae | percent
  'hatch ratio' | hatching ratio of eggs | percent
  'hatchability' | the percent of laid eggs that successfully hatched | percent
  'hatchability' | percent of eggs successfully hatching based on ... | percent
  'hatching period' | mean time from initiation to completion of hatc... | days
  'hatchability' | percent surviving life stage | percent
  'egg hatch' | Mean percentage of eggs hatched | percent

--- Cluster 17 (12 members) ---
  'feeding time' | mean duration of adult female feeding developme... | days
  'feeding time' | mean duration of feeding developmental phase | days
  'feeding period (larval)' | mean duration of life stage | days
  'feeding period (nymphal)' | mean duration of life stage | days
  'feeding period (adult)' | mean duration of life stage | days
  'feeding period' | mean duration of feeding period | days
  'Feeding Period' | number of days required for nymphs to fully eng... | days
  'Feeding Period of Nymphs (Days)' | number of days required for nymphs to fully eng... | days
  'feeding period' | mean Feeding Period in days at larval state at ... | days
  'feeding period' | mean Feeding Period in days at nymph state at c... | days
