
--- Cluster 1 (21 members) ---
  'fecundity rate' | maximum number of offspring per female per day | nymphs individual-1 day-1
  'fecundity rate' | mean number of nymphs per day per female | progeny individual-1 day-1
  'development rate' | inverse of the mean duration of life stage | days-1
  'fecundity' | mean duration of life stage | progeny individual-1
  'post-reproductive period' | mean duration of life stage | days
  'growth rate' | mean relative growth rate (ln(adult moult weigh... | ug ug-1 day-1
  'body length' | replicate-level mean body length | mm
  'effective fecundity' | mean number of nymphs produced individual-1 dur... | nymphs unit time-1
  'body size (alate)' | mean wet mass | mg
  'body size (apterous)' | mean wet mass | mg
  'maximum fecundity' | mean duration from onset of reproduction to max... | days
  'fecundity rate' | mean duration of life stage | progeny individual-1 day-1
  'pre-reproductive period' | mean rate of life stage completion | days
  'reproductive period' | mean rate of life stage completion | days
  'post-reproductive period' | mean rate of life stage completion | days
  'body size (alate nymph)' | mean wet mass | days
  'body size (apterous nymph)' | mean wet mass | days
  'fecundity (alate)' | mean lifetime offspring | days
  'fecundity (apterous)' | mean lifetime offspring | days
  'development time' | mean duration of life stage as a function of re... | days
  'longevity' | mean duration of life stage as a function of re... | days
  'fecundity' | mean population-level offspring (100 individuals) | days
  'longevity' | mean duration of adult lifespan as a function o... | days
  'fecundity' | total population-level number of offspring prod... | offspring
  'body size (length)' | mean body length | mm
  'fecundity' | mean lifetime progeny per female | progeny individual-1
  'body size (length)' | mean body length (adult) | mm
  'body size (mass)' | mean wet mass | mg
  'fecundity rate (apterous)' | mean offspring per unit time | offspring individual-1 day-1
  'fecundity rate (alate)' | mean offspring per unit time | offspring individual-1 day-1
  'longevity (alate)' | mean duration of life stage | days
  'development duration' | period at 4th instar | days
  'fertility' | number of offspring produced | number of offspring
  'pre-reproductive period' | period of time before female aphids reproduce | days
  'reproductive period' | period of time where female aphids reproduce | days
  'nymph production' | number of nymphs produced / female | number of nymphs produced / female
  'fecundity' | mean of daily newborn nymph counts | mean number of nymphs
  'pre-reproduction period' | duration of developmental phases in days | days
  'reproduction period' | duration of developmental phases in days | days
  'post-reproduction period' | duration of developmental phases in days | days
  'survival' | cumulative daily survival | lx
  'average daily fecundity' | daily fecundity of female aphids | mx
  'adult longevity' | period from adult emergence until death | days
  'mean fecundity' | number of nymphs deposited | oviparae/gynoparae
  'percent survival' | percent of adult aphids that were still alive e... | percent
  'longevity' | adult aphid survival | days
  'age-specific daily fecundity' | new nymphs produced each day | mean number of nymphs
  'feeding behavior' | initiation of stylet penetration of leaf tissue | percent
  'developmental time' | number of days at each developmental stage | days
  'mean fecundity' | mean number of offspring produced by females | female/female
  'Pre-reproductive average' | Period from birth until first molt | days
  'Reproductive average' | Period from the adult stage (genital plate appe... | days
