perm_id,order_string,anchor,silhouette,n_clusters,noise_rate,avg_cluster_size,max_cluster_share,ARI_vs_original,degenerate
1,def>family>name>order>stage>unit,,0.2971,20,0.4121,13.55,0.1367,0.5318,FALSE
2,def>family>name>order>unit>stage,,0.2997,19,0.4252,13.95,0.1367,0.5188,FALSE
3,def>family>name>stage>order>unit,,0.3012,20,0.4121,13.55,0.1345,0.5339,FALSE
4,def>family>name>stage>unit>order,,0.2941,20,0.4035,13.75,0.1345,0.5533,FALSE
5,def>family>name>unit>order>stage,,0.2988,21,0.4252,12.62,0.1367,0.5502,FALSE
6,def>family>name>unit>stage>order,,0.2961,20,0.4056,13.7,0.1388,0.5471,FALSE
7,def>family>order>name>stage>unit,,0.3018,19,0.4382,13.63,0.1323,0.487,FALSE
8,def>family>order>name>unit>stage,,0.2955,19,0.4317,13.79,0.1302,0.4974,FALSE
9,def>family>order>stage>name>unit,,0.1313,2,0.0889,210,0.8959,-0.0246,TRUE
10,def>family>order>stage>unit>name,,0.1396,2,0.0781,212.5,0.9046,-0.0232,TRUE
11,def>family>order>unit>name>stage,,0.1311,2,0.0781,212.5,0.9046,-0.0232,TRUE
12,def>family>order>unit>stage>name,,0.1385,2,0.0846,211,0.898,-0.0242,TRUE
13,def>family>stage>name>order>unit,,0.2609,16,0.4469,15.94,0.1106,0.4098,FALSE
14,def>family>stage>name>unit>order,,0.2453,18,0.4837,13.22,0.1041,0.3455,FALSE
15,def>family>stage>order>name>unit,,0.2578,16,0.4469,15.94,0.1041,0.4094,FALSE
16,def>family>stage>order>unit>name,,0.1365,2,0.0716,214,0.9111,-0.0219,TRUE
17,def>family>stage>unit>name>order,,0.1343,2,0.0824,211.5,0.9024,-0.0238,TRUE
18,def>family>stage>unit>order>name,,0.1369,2,0.0889,210,0.8937,-0.0246,TRUE
19,def>family>unit>name>order>stage,,0.2768,17,0.4555,14.76,0.1106,0.4556,FALSE
20,def>family>unit>name>stage>order,,0.1257,2,0.0846,211,0.898,-0.0242,TRUE
21,def>family>unit>order>name>stage,,0.128,2,0.0738,213.5,0.9089,-0.0224,TRUE
22,def>family>unit>order>stage>name,,0.136,2,0.0803,212,0.9024,-0.0236,TRUE
23,def>family>unit>stage>name>order,,0.1344,2,0.0846,211,0.898,-0.0242,TRUE
24,def>family>unit>stage>order>name,,0.1307,2,0.0651,215.5,0.9176,-0.0201,TRUE
25,def>name>family>order>stage>unit,,0.0884,9,0.2148,40.22,0.6334,0.1048,TRUE
26,def>name>family>order>unit>stage,,0.207,14,0.3644,20.93,0.2364,0.4127,FALSE
27,def>name>family>stage>order>unit,,0.2062,14,0.3601,21.07,0.2343,0.415,FALSE
28,def>name>family>stage>unit>order,,0.2064,14,0.3753,20.57,0.2126,0.4264,FALSE
29,def>name>family>unit>order>stage,,0.2175,15,0.3753,19.2,0.2321,0.4103,FALSE
30,def>name>family>unit>stage>order,,0.1849,16,0.423,16.62,0.2191,0.3337,FALSE
31,def>name>order>family>stage>unit,,0.2012,14,0.3644,20.93,0.2256,0.4412,FALSE
32,def>name>order>family>unit>stage,,0.2017,15,0.3492,20,0.2234,0.4164,FALSE
33,def>name>order>stage>family>unit,,0.086,9,0.2148,40.22,0.6269,0.1113,TRUE
34,def>name>order>stage>unit>family,,0.2061,14,0.3818,20.36,0.2148,0.4147,FALSE
35,def>name>order>unit>family>stage,,0.2042,15,0.3601,19.67,0.2299,0.3969,FALSE
36,def>name>order>unit>stage>family,,0.0848,9,0.2213,39.89,0.6247,0.1104,TRUE
37,def>name>stage>family>order>unit,,0.0866,9,0.2321,39.33,0.6269,0.1045,TRUE
38,def>name>stage>family>unit>order,,0.1354,13,0.3709,22.31,0.3601,0.3167,FALSE
39,def>name>stage>order>family>unit,,0.0869,9,0.2278,39.56,0.6182,0.1157,TRUE
40,def>name>stage>order>unit>family,,0.2037,16,0.4534,15.75,0.1996,0.2803,FALSE
41,def>name>stage>unit>family>order,,0.2734,19,0.4859,12.47,0.102,0.3274,FALSE
42,def>name>stage>unit>order>family,,0.2899,20,0.5098,11.3,0.1106,0.319,FALSE
43,def>name>unit>family>order>stage,,0.2113,14,0.3861,20.21,0.2234,0.4174,FALSE
44,def>name>unit>family>stage>order,,0.0873,11,0.2082,33.18,0.6182,0.1053,TRUE
45,def>name>unit>order>family>stage,def_first,0.1819,17,0.4056,16.12,0.2213,0.3529,FALSE
46,def>name>unit>order>stage>family,,0.2686,16,0.4252,16.56,0.115,0.4614,FALSE
47,def>name>unit>stage>family>order,,0.2356,16,0.4729,15.19,0.0998,0.3788,FALSE
48,def>name>unit>stage>order>family,,0.0861,10,0.2148,36.2,0.6269,0.0951,TRUE
49,def>order>family>name>stage>unit,,0.3036,19,0.462,13.05,0.1236,0.4363,FALSE
50,def>order>family>name>unit>stage,,0.2737,19,0.4252,13.95,0.1323,0.5118,FALSE
51,def>order>family>stage>name>unit,,0.1358,2,0.0933,209,0.8937,-0.025,TRUE
52,def>order>family>stage>unit>name,,0.1407,2,0.0868,210.5,0.9002,-0.0243,TRUE
53,def>order>family>unit>name>stage,,0.1314,2,0.0824,211.5,0.9046,-0.0236,TRUE
54,def>order>family>unit>stage>name,,0.137,2,0.0868,210.5,0.9002,-0.0243,TRUE
55,def>order>name>family>stage>unit,,0.2743,21,0.4295,12.52,0.1215,0.4365,FALSE
56,def>order>name>family>unit>stage,,0.2796,19,0.4425,13.53,0.115,0.4449,FALSE
57,def>order>name>stage>family>unit,,0.0801,10,0.1974,37,0.6226,0.1151,TRUE
58,def>order>name>stage>unit>family,,0.3002,19,0.462,13.05,0.1171,0.421,FALSE
59,def>order>name>unit>family>stage,,0.2695,19,0.41,14.32,0.1215,0.4939,FALSE
60,def>order>name>unit>stage>family,,0.2504,18,0.3905,15.61,0.1215,0.5046,FALSE
61,def>order>stage>family>name>unit,,0.2003,17,0.449,14.94,0.0998,0.4002,FALSE
62,def>order>stage>family>unit>name,,0.1375,2,0.0933,209,0.8915,-0.025,TRUE
63,def>order>stage>name>family>unit,,0.1975,16,0.3644,18.31,0.2256,0.4145,FALSE
64,def>order>stage>name>unit>family,,0.1963,15,0.3731,19.27,0.2148,0.4163,FALSE
65,def>order>stage>unit>family>name,,0.1385,2,0.0911,209.5,0.8915,-0.0248,TRUE
66,def>order>stage>unit>name>family,,0.1703,13,0.3753,22.15,0.2126,0.4255,FALSE
67,def>order>unit>family>name>stage,,0.1345,2,0.0954,208.5,0.8915,-0.0252,TRUE
68,def>order>unit>family>stage>name,,0.1396,2,0.0998,207.5,0.8872,-0.0253,TRUE
69,def>order>unit>name>family>stage,,0.2246,17,0.4664,14.47,0.1128,0.4118,FALSE
70,def>order>unit>name>stage>family,,0.2168,17,0.4469,15,0.1106,0.4365,FALSE
71,def>order>unit>stage>family>name,,0.1366,2,0.0824,211.5,0.9002,-0.0239,TRUE
72,def>order>unit>stage>name>family,,0.1346,2,0.1041,206.5,0.8829,-0.0262,TRUE
73,def>stage>family>name>order>unit,,0.2854,19,0.5575,10.74,0.0694,0.2683,FALSE
74,def>stage>family>name>unit>order,,0.2371,16,0.4751,15.12,0.102,0.3326,FALSE
75,def>stage>family>order>name>unit,,0.1338,2,0.0889,210,0.8937,-0.0246,TRUE
76,def>stage>family>order>unit>name,,0.1379,2,0.0651,215.5,0.9176,-0.0201,TRUE
77,def>stage>family>unit>name>order,,0.1354,2,0.0759,213,0.9067,-0.0228,TRUE
78,def>stage>family>unit>order>name,,0.138,2,0.0781,212.5,0.9046,-0.0232,TRUE
79,def>stage>name>family>order>unit,,0.2514,16,0.5119,14.06,0.0976,0.3363,FALSE
80,def>stage>name>family>unit>order,,0.2678,18,0.538,11.83,0.0933,0.3012,FALSE
81,def>stage>name>order>family>unit,,0.1809,15,0.4469,17,0.1996,0.321,FALSE
82,def>stage>name>order>unit>family,,0.1871,16,0.4685,15.31,0.2082,0.2856,FALSE
83,def>stage>name>unit>family>order,,0.2554,17,0.4664,14.47,0.1063,0.3373,FALSE
84,def>stage>name>unit>order>family,,0.2147,14,0.4512,18.07,0.1931,0.3345,FALSE
85,def>stage>order>family>name>unit,,0.1344,2,0.0889,210,0.8959,-0.0246,TRUE
86,def>stage>order>family>unit>name,,0.1354,2,0.0651,215.5,0.9176,-0.0201,TRUE
87,def>stage>order>name>family>unit,,0.2813,18,0.5206,12.28,0.0976,0.3172,FALSE
88,def>stage>order>name>unit>family,,0.2581,18,0.4967,12.89,0.0954,0.2825,FALSE
89,def>stage>order>unit>family>name,,0.1394,2,0.0824,211.5,0.9002,-0.0239,TRUE
90,def>stage>order>unit>name>family,,0.136,2,0.0868,210.5,0.9002,-0.0243,TRUE
91,def>stage>unit>family>name>order,,0.2314,17,0.5163,13.12,0.0998,0.3133,FALSE
92,def>stage>unit>family>order>name,,0.1407,2,0.0651,215.5,0.9154,-0.0205,TRUE
93,def>stage>unit>name>family>order,,0.2335,17,0.5163,13.12,0.0998,0.2984,FALSE
94,def>stage>unit>name>order>family,,0.1521,14,0.4273,18.86,0.2126,0.3296,FALSE
95,def>stage>unit>order>family>name,,0.2271,15,0.4707,16.27,0.1063,0.4063,FALSE
96,def>stage>unit>order>name>family,,0.1859,17,0.4685,14.41,0.2148,0.2991,FALSE
97,def>unit>family>name>order>stage,,0.1789,14,0.3601,21.07,0.2516,0.4379,FALSE
98,def>unit>family>name>stage>order,,0.2717,19,0.5011,12.11,0.1041,0.3961,FALSE
99,def>unit>family>order>name>stage,,0.1794,14,0.3688,20.79,0.2364,0.4284,FALSE
100,def>unit>family>order>stage>name,,0.1392,2,0.0738,213.5,0.9067,-0.0226,TRUE
101,def>unit>family>stage>name>order,,0.1966,13,0.4577,19.23,0.1041,0.4149,FALSE
102,def>unit>family>stage>order>name,,0.1379,2,0.0824,211.5,0.898,-0.0239,TRUE
103,def>unit>name>family>order>stage,,0.2235,19,0.3926,14.74,0.1215,0.4786,FALSE
104,def>unit>name>family>stage>order,,0.2071,16,0.4056,17.12,0.1215,0.4592,FALSE
105,def>unit>name>order>family>stage,,0.2494,18,0.4707,13.56,0.1193,0.4132,FALSE
106,def>unit>name>order>stage>family,,0.2349,17,0.4317,15.41,0.115,0.4308,FALSE
107,def>unit>name>stage>family>order,,0.222,15,0.4425,17.13,0.102,0.3991,FALSE
108,def>unit>name>stage>order>family,,0.2698,17,0.4837,14,0.1041,0.3855,FALSE
109,def>unit>order>family>name>stage,,0.1792,15,0.3883,18.8,0.2126,0.4344,FALSE
110,def>unit>order>family>stage>name,,0.1351,2,0.0694,214.5,0.9154,-0.0209,TRUE
111,def>unit>order>name>family>stage,,0.0803,3,0.1302,133.67,0.833,-0.0101,TRUE
112,def>unit>order>name>stage>family,,0.1635,13,0.3557,22.85,0.2321,0.4253,FALSE
113,def>unit>order>stage>family>name,,0.1353,2,0.0716,214,0.9111,-0.0219,TRUE
114,def>unit>order>stage>name>family,,0.1604,12,0.397,23.17,0.2213,0.4202,FALSE
115,def>unit>stage>family>name>order,,0.133,2,0.0738,213.5,0.9089,-0.0224,TRUE
116,def>unit>stage>family>order>name,,0.2469,16,0.4837,14.88,0.1085,0.4016,FALSE
117,def>unit>stage>name>family>order,,0.0807,3,0.1236,134.67,0.8373,-0.0109,TRUE
118,def>unit>stage>name>order>family,,0.1638,12,0.4035,22.92,0.2278,0.367,FALSE
119,def>unit>stage>order>family>name,,0.1823,14,0.4013,19.71,0.2104,0.4121,FALSE
120,def>unit>stage>order>name>family,,0.1661,12,0.4208,22.25,0.2148,0.3783,FALSE
121,family>def>name>order>stage>unit,,0.2279,22,0.3059,14.55,0.2039,0.3776,FALSE
122,family>def>name>order>unit>stage,,0.223,22,0.295,14.77,0.2061,0.3702,FALSE
123,family>def>name>stage>order>unit,,0.2274,23,0.2907,14.22,0.2061,0.3345,FALSE
124,family>def>name>stage>unit>order,,0.213,21,0.2842,15.71,0.2278,0.3562,FALSE
125,family>def>name>unit>order>stage,,0.1929,19,0.2581,18,0.2104,0.264,FALSE
126,family>def>name>unit>stage>order,,0.1948,20,0.243,17.45,0.2104,0.2579,FALSE
127,family>def>order>name>stage>unit,,0.1912,11,0.2278,32.36,0.423,0.0982,FALSE
128,family>def>order>name>unit>stage,,0.216,21,0.2755,15.9,0.2191,0.3112,FALSE
129,family>def>order>stage>name>unit,,0.249,22,0.3536,13.55,0.2104,0.2922,FALSE
130,family>def>order>stage>unit>name,,0.1915,10,0.2321,35.4,0.4252,0.1003,FALSE
131,family>def>order>unit>name>stage,,0.2205,21,0.2863,15.67,0.2148,0.3016,FALSE
132,family>def>order>unit>stage>name,,0.2425,21,0.3362,14.57,0.2148,0.342,FALSE
133,family>def>stage>name>order>unit,,0.1902,19,0.2842,17.37,0.2343,0.31,FALSE
134,family>def>stage>name>unit>order,,0.2042,20,0.2907,16.35,0.2386,0.3031,FALSE
135,family>def>stage>order>name>unit,,0.2187,21,0.3037,15.29,0.2148,0.3158,FALSE
136,family>def>stage>order>unit>name,,0.2027,20,0.2972,16.2,0.2126,0.3143,FALSE
137,family>def>stage>unit>name>order,,0.1832,18,0.295,18.06,0.2364,0.3061,FALSE
138,family>def>stage>unit>order>name,,0.2003,20,0.2972,16.2,0.2039,0.364,FALSE
139,family>def>unit>name>order>stage,,0.2451,23,0.3167,13.7,0.2082,0.3505,FALSE
140,family>def>unit>name>stage>order,,0.2084,20,0.2668,16.9,0.2104,0.287,FALSE
141,family>def>unit>order>name>stage,,0.2201,21,0.3059,15.24,0.2148,0.309,FALSE
142,family>def>unit>order>stage>name,,0.2316,21,0.3384,14.52,0.2364,0.2784,FALSE
143,family>def>unit>stage>name>order,,0.1881,17,0.3254,18.29,0.2278,0.2854,FALSE
144,family>def>unit>stage>order>name,,0.2196,22,0.2972,14.73,0.2104,0.3246,FALSE
145,family>name>def>order>stage>unit,,0.3387,28,0.295,11.61,0.0738,0.4904,FALSE
146,family>name>def>order>unit>stage,,0.3402,28,0.295,11.61,0.0738,0.4718,FALSE
147,family>name>def>stage>order>unit,,0.3389,28,0.2863,11.75,0.0738,0.5085,FALSE
148,family>name>def>stage>unit>order,,0.3371,28,0.2798,11.86,0.0759,0.5249,FALSE
149,family>name>def>unit>order>stage,,0.336,29,0.2907,11.28,0.0781,0.4895,FALSE
150,family>name>def>unit>stage>order,,0.3384,28,0.2863,11.75,0.0781,0.511,FALSE
151,family>name>order>def>stage>unit,,0.3382,24,0.321,13.04,0.102,0.501,FALSE
152,family>name>order>def>unit>stage,,0.3161,25,0.2972,12.96,0.1063,0.4679,FALSE
153,family>name>order>stage>def>unit,,0.29,24,0.3384,12.71,0.0803,0.4961,FALSE
154,family>name>order>stage>unit>def,,0.3272,25,0.3102,12.72,0.1085,0.4952,FALSE
155,family>name>order>unit>def>stage,,0.3258,25,0.2711,13.44,0.1215,0.4697,FALSE
156,family>name>order>unit>stage>def,,0.2938,24,0.2733,13.96,0.128,0.4572,FALSE
157,family>name>stage>def>order>unit,,0.3084,23,0.321,13.61,0.1128,0.4798,FALSE
158,family>name>stage>def>unit>order,,0.3081,23,0.3232,13.57,0.1085,0.4731,FALSE
159,family>name>stage>order>def>unit,,0.2372,21,0.2755,15.9,0.2104,0.4174,FALSE
160,family>name>stage>order>unit>def,,0.3209,24,0.3427,12.62,0.102,0.4693,FALSE
161,family>name>stage>unit>def>order,,0.2988,26,0.2798,12.77,0.1215,0.491,FALSE
162,family>name>stage>unit>order>def,,0.2563,21,0.3059,15.24,0.2039,0.4119,FALSE
163,family>name>unit>def>order>stage,,0.3089,27,0.2646,12.56,0.1215,0.4571,FALSE
164,family>name>unit>def>stage>order,,0.3425,28,0.3145,11.29,0.0781,0.5081,FALSE
165,family>name>unit>order>def>stage,,0.3376,25,0.3189,12.56,0.1128,0.4779,FALSE
166,family>name>unit>order>stage>def,,0.3141,25,0.3189,12.56,0.1063,0.444,FALSE
167,family>name>unit>stage>def>order,,0.3084,25,0.2972,12.96,0.1236,0.5108,FALSE
168,family>name>unit>stage>order>def,,0.2999,24,0.3275,12.92,0.0998,0.4946,FALSE
169,family>order>def>name>stage>unit,,0.2052,10,0.2169,36.1,0.449,0.0896,FALSE
170,family>order>def>name>unit>stage,,0.1983,10,0.2148,36.2,0.4447,0.0889,FALSE
171,family>order>def>stage>name>unit,,0.2073,10,0.1974,37,0.4512,0.0742,FALSE
172,family>order>def>stage>unit>name,,0.2017,10,0.1952,37.1,0.4425,0.0812,FALSE
173,family>order>def>unit>name>stage,,0.1867,10,0.1909,37.3,0.4447,0.0793,FALSE
174,family>order>def>unit>stage>name,,0.2272,20,0.308,15.95,0.2104,0.3253,FALSE
175,family>order>name>def>stage>unit,,0.3273,28,0.2538,12.29,0.115,0.4282,FALSE
176,family>order>name>def>unit>stage,,0.32,28,0.243,12.46,0.1258,0.4227,FALSE
177,family>order>name>stage>def>unit,,0.2569,25,0.2733,13.4,0.2213,0.3949,FALSE
178,family>order>name>stage>unit>def,,0.3191,26,0.321,12.04,0.102,0.4873,FALSE
179,family>order>name>unit>def>stage,,0.3287,26,0.295,12.5,0.115,0.491,FALSE
180,family>order>name>unit>stage>def,,0.3056,23,0.321,13.61,0.102,0.4855,FALSE
181,family>order>stage>def>name>unit,,0.2065,18,0.3601,16.39,0.2039,0.3584,FALSE
182,family>order>stage>def>unit>name,,0.2133,21,0.295,15.48,0.2082,0.3616,FALSE
183,family>order>stage>name>def>unit,,0.2995,23,0.295,14.13,0.1106,0.4873,FALSE
184,family>order>stage>name>unit>def,,0.3015,25,0.3275,12.4,0.102,0.5037,FALSE
185,family>order>stage>unit>def>name,,0.2027,14,0.2581,24.43,0.2039,0.2691,FALSE
186,family>order>stage>unit>name>def,,0.3216,23,0.3427,13.17,0.115,0.4447,FALSE
187,family>order>unit>def>name>stage,,0.2212,15,0.2603,22.73,0.2082,0.2414,FALSE
188,family>order>unit>def>stage>name,,0.2141,17,0.3145,18.59,0.2017,0.3623,FALSE
189,family>order>unit>name>def>stage,,0.3376,27,0.3059,11.85,0.0781,0.4918,FALSE
190,family>order>unit>name>stage>def,,0.2959,24,0.3275,12.92,0.1041,0.4181,FALSE
191,family>order>unit>stage>def>name,,0.2149,16,0.2885,20.5,0.1996,0.2798,FALSE
192,family>order>unit>stage>name>def,,0.3125,25,0.3275,12.4,0.1193,0.4296,FALSE
193,family>stage>def>name>order>unit,,0.1832,21,0.3254,14.81,0.2299,0.335,FALSE
194,family>stage>def>name>unit>order,,0.1732,19,0.3297,16.26,0.2213,0.3454,FALSE
195,family>stage>def>order>name>unit,,0.1999,20,0.256,17.15,0.2386,0.2977,FALSE
196,family>stage>def>order>unit>name,,0.1943,21,0.2299,16.9,0.2495,0.2863,FALSE
197,family>stage>def>unit>name>order,,0.175,18,0.3059,17.78,0.2213,0.3803,FALSE
198,family>stage>def>unit>order>name,,0.2012,21,0.2928,15.52,0.2256,0.3726,FALSE
199,family>stage>name>def>order>unit,,0.3112,25,0.308,12.76,0.0738,0.4816,FALSE
200,family>stage>name>def>unit>order,,0.3054,24,0.321,13.04,0.0781,0.5455,FALSE
201,family>stage>name>order>def>unit,,0.3192,23,0.3471,13.09,0.0933,0.5063,FALSE
202,family>stage>name>order>unit>def,,0.2979,25,0.2972,12.96,0.1106,0.5443,FALSE
203,family>stage>name>unit>def>order,,0.2836,23,0.2863,14.3,0.141,0.4856,FALSE
204,family>stage>name>unit>order>def,,0.27,21,0.3189,14.95,0.1171,0.4763,FALSE
205,family>stage>order>def>name>unit,,0.1912,18,0.2842,18.33,0.2061,0.3192,FALSE
206,family>stage>order>def>unit>name,,0.2215,21,0.3232,14.86,0.2061,0.3318,FALSE
207,family>stage>order>name>def>unit,,0.294,22,0.2993,14.68,0.1085,0.4606,FALSE
208,family>stage>order>name>unit>def,,0.2689,22,0.3102,14.45,0.115,0.4324,FALSE
209,family>stage>order>unit>def>name,,0.2028,15,0.2733,22.33,0.1952,0.3159,FALSE
210,family>stage>order>unit>name>def,,0.3131,25,0.3254,12.44,0.1063,0.4299,FALSE
211,family>stage>unit>def>name>order,,0.191,16,0.2863,20.56,0.2299,0.2801,FALSE
212,family>stage>unit>def>order>name,,0.1973,19,0.3384,16.05,0.2213,0.3739,FALSE
213,family>stage>unit>name>def>order,,0.2804,24,0.2777,13.88,0.141,0.4955,FALSE
214,family>stage>unit>name>order>def,,0.3028,24,0.3384,12.71,0.128,0.3959,FALSE
215,family>stage>unit>order>def>name,,0.2137,16,0.2711,21,0.2061,0.3197,FALSE
216,family>stage>unit>order>name>def,,0.2704,21,0.2842,15.71,0.1258,0.4525,FALSE
217,family>unit>def>name>order>stage,,0.2432,17,0.3449,17.76,0.1996,0.2886,FALSE
218,family>unit>def>name>stage>order,,0.2534,15,0.3796,19.07,0.2017,0.2791,FALSE
219,family>unit>def>order>name>stage,,0.2221,15,0.2863,21.93,0.2343,0.2383,FALSE
220,family>unit>def>order>stage>name,,0.207,17,0.2646,19.94,0.2408,0.2323,FALSE
221,family>unit>def>stage>name>order,,0.2645,16,0.3753,18,0.2017,0.2401,FALSE
222,family>unit>def>stage>order>name,,0.2532,18,0.3623,16.33,0.1887,0.2692,FALSE
223,family>unit>name>def>order>stage,,0.3297,27,0.3167,11.67,0.0824,0.5192,FALSE
224,family>unit>name>def>stage>order,,0.3271,29,0.308,11,0.0824,0.5412,FALSE
225,family>unit>name>order>def>stage,,0.3232,27,0.2842,12.22,0.128,0.4365,FALSE
226,family>unit>name>order>stage>def,,0.3144,26,0.321,12.04,0.1085,0.4987,FALSE
227,family>unit>name>stage>def>order,,0.2869,25,0.2907,13.08,0.141,0.4688,FALSE
228,family>unit>name>stage>order>def,,0.3078,25,0.3232,12.48,0.128,0.4353,FALSE
229,family>unit>order>def>name>stage,,0.2525,18,0.3709,16.11,0.1106,0.3668,FALSE
230,family>unit>order>def>stage>name,,0.2768,20,0.3926,14,0.1063,0.3789,FALSE
231,family>unit>order>name>def>stage,,0.3443,28,0.3275,11.07,0.0738,0.4956,FALSE
232,family>unit>order>name>stage>def,,0.2826,22,0.3275,14.09,0.115,0.4118,FALSE
233,family>unit>order>stage>def>name,,0.2396,16,0.3145,19.75,0.1952,0.3071,FALSE
234,family>unit>order>stage>name>def,,0.3214,24,0.3232,13,0.1258,0.4658,FALSE
235,family>unit>stage>def>name>order,,0.2031,16,0.3297,19.31,0.2126,0.2801,FALSE
236,family>unit>stage>def>order>name,,0.2145,17,0.282,19.47,0.2234,0.283,FALSE
237,family>unit>stage>name>def>order,,0.308,25,0.3189,12.56,0.0846,0.5322,FALSE
238,family>unit>stage>name>order>def,,0.2955,24,0.321,13.04,0.1323,0.4211,FALSE
239,family>unit>stage>order>def>name,,0.2145,16,0.2755,20.88,0.1996,0.286,FALSE
240,family>unit>stage>order>name>def,,0.3085,24,0.3124,13.21,0.1215,0.4511,FALSE
241,name>def>family>order>stage>unit,,0.2992,23,0.256,14.91,0.1453,0.8338,FALSE
242,name>def>family>order>unit>stage,,0.2964,21,0.2516,16.43,0.1453,0.8469,FALSE
243,name>def>family>stage>order>unit,,0.2948,24,0.2581,14.25,0.1497,0.8328,FALSE
244,name>def>family>stage>unit>order,,0.2996,22,0.269,15.32,0.1453,0.8169,FALSE
245,name>def>family>unit>order>stage,,0.2933,21,0.2516,16.43,0.1453,0.8584,FALSE
246,name>def>family>unit>stage>order,,0.2946,20,0.2603,17.05,0.1475,0.8555,FALSE
247,name>def>order>family>stage>unit,,0.2924,22,0.2473,15.77,0.1475,0.8618,FALSE
248,name>def>order>family>unit>stage,,0.2941,20,0.2408,17.5,0.1432,0.8206,FALSE
249,name>def>order>stage>family>unit,,0.2956,20,0.2473,17.35,0.1475,0.8645,FALSE
250,name>def>order>stage>unit>family,,0.2861,19,0.2321,18.63,0.1475,0.8187,FALSE
251,name>def>order>unit>family>stage,,0.2824,19,0.2299,18.68,0.1453,0.7996,FALSE
252,name>def>order>unit>stage>family,,0.2781,21,0.2256,17,0.1432,0.7711,FALSE
253,name>def>stage>family>order>unit,,0.3064,20,0.2928,16.3,0.1497,0.9012,FALSE
254,name>def>stage>family>unit>order,,0.3006,21,0.2907,15.57,0.1453,0.8312,FALSE
255,name>def>stage>order>family>unit,,0.3026,22,0.2755,15.18,0.1432,0.8725,FALSE
256,name>def>stage>order>unit>family,,0.2928,22,0.2538,15.64,0.1475,0.8703,FALSE
257,name>def>stage>unit>family>order,,0.3039,20,0.308,15.95,0.1453,0.8402,FALSE
258,name>def>stage>unit>order>family,,0.2973,21,0.2581,16.29,0.1475,0.8672,FALSE
259,name>def>unit>family>order>stage,,0.285,19,0.2516,18.16,0.1497,0.8647,FALSE
260,name>def>unit>family>stage>order,,0.305,20,0.2993,16.15,0.1453,0.9024,FALSE
261,name>def>unit>order>family>stage,original,0.2926,20,0.269,16.85,0.1518,1,FALSE
262,name>def>unit>order>stage>family,,0.2769,21,0.2256,17,0.1497,0.8136,FALSE
263,name>def>unit>stage>family>order,,0.2796,20,0.256,17.15,0.1475,0.8217,FALSE
264,name>def>unit>stage>order>family,,0.2827,20,0.2386,17.55,0.1497,0.8579,FALSE
265,name>family>def>order>stage>unit,,0.305,26,0.3037,12.35,0.1193,0.488,FALSE
266,name>family>def>order>unit>stage,,0.3026,26,0.3037,12.35,0.1193,0.5177,FALSE
267,name>family>def>stage>order>unit,,0.2978,26,0.3015,12.38,0.115,0.498,FALSE
268,name>family>def>stage>unit>order,,0.297,23,0.308,13.87,0.1193,0.5466,FALSE
269,name>family>def>unit>order>stage,,0.3097,24,0.3275,12.92,0.1171,0.5234,FALSE
270,name>family>def>unit>stage>order,,0.2996,24,0.3189,13.08,0.1215,0.5569,FALSE
271,name>family>order>def>stage>unit,,0.2844,25,0.2538,13.76,0.141,0.4666,FALSE
272,name>family>order>def>unit>stage,,0.2981,26,0.2733,12.88,0.1302,0.5105,FALSE
273,name>family>order>stage>def>unit,,0.2887,25,0.308,12.76,0.1236,0.4836,FALSE
274,name>family>order>stage>unit>def,,0.3099,25,0.3167,12.6,0.115,0.5337,FALSE
275,name>family>order>unit>def>stage,,0.3192,27,0.3059,11.85,0.1085,0.5528,FALSE
276,name>family>order>unit>stage>def,,0.2847,24,0.2928,13.58,0.1258,0.5442,FALSE
277,name>family>stage>def>order>unit,,0.2919,25,0.3124,12.68,0.1215,0.5242,FALSE
278,name>family>stage>def>unit>order,,0.3044,24,0.3232,13,0.1236,0.4973,FALSE
279,name>family>stage>order>def>unit,,0.2899,24,0.3015,13.42,0.1215,0.5188,FALSE
280,name>family>stage>order>unit>def,,0.2962,25,0.2972,12.96,0.1193,0.5542,FALSE
281,name>family>stage>unit>def>order,,0.2939,25,0.2993,12.92,0.1323,0.53,FALSE
282,name>family>stage>unit>order>def,,0.2959,24,0.3124,13.21,0.1302,0.5605,FALSE
283,name>family>unit>def>order>stage,,0.3279,29,0.3449,10.41,0.0716,0.5494,FALSE
284,name>family>unit>def>stage>order,,0.3064,27,0.3189,11.63,0.1215,0.5797,FALSE
285,name>family>unit>order>def>stage,,0.3065,25,0.2907,13.08,0.1367,0.5341,FALSE
286,name>family>unit>order>stage>def,,0.2888,24,0.2972,13.5,0.1258,0.527,FALSE
287,name>family>unit>stage>def>order,,0.3016,26,0.308,12.27,0.1258,0.5388,FALSE
288,name>family>unit>stage>order>def,,0.2915,24,0.2972,13.5,0.1215,0.5389,FALSE
289,name>order>def>family>stage>unit,,0.3057,25,0.3384,12.2,0.0672,0.5084,FALSE
290,name>order>def>family>unit>stage,,0.2866,23,0.3319,13.39,0.0651,0.5126,FALSE
291,name>order>def>stage>family>unit,,0.3234,24,0.3883,11.75,0.0607,0.5195,FALSE
292,name>order>def>stage>unit>family,,0.2973,26,0.3449,11.62,0.0651,0.5214,FALSE
293,name>order>def>unit>family>stage,,0.3078,23,0.3731,12.57,0.0607,0.5307,FALSE
