perm_id,order_string,anchor,silhouette,n_clusters,noise_rate,avg_cluster_size,max_cluster_share,ARI_vs_original,degenerate
663,unit>name>order>family>def>stage,,0.2971,23,0.3926,12.17,0.0889,0.466,FALSE
664,unit>name>order>family>stage>def,,0.2631,21,0.4165,12.81,0.102,0.3155,FALSE
665,unit>name>order>stage>def>family,,0.265,18,0.3666,16.22,0.1453,0.553,FALSE
666,unit>name>order>stage>family>def,,0.2368,18,0.3839,15.78,0.1106,0.3705,FALSE
667,unit>name>stage>def>family>order,,0.2743,21,0.4512,12.05,0.0651,0.417,FALSE
668,unit>name>stage>def>order>family,,0.2957,20,0.4751,12.1,0.0651,0.378,FALSE
669,unit>name>stage>family>def>order,,0.2883,19,0.3839,14.95,0.1388,0.5057,FALSE
670,unit>name>stage>family>order>def,,0.2488,16,0.3623,18.38,0.1432,0.5106,FALSE
671,unit>name>stage>order>def>family,,0.2855,20,0.3991,13.85,0.102,0.4074,FALSE
672,unit>name>stage>order>family>def,,0.274,21,0.4273,12.57,0.0954,0.3167,FALSE
673,unit>order>def>family>name>stage,,0.2749,21,0.3926,13.33,0.115,0.4055,FALSE
674,unit>order>def>family>stage>name,,0.2172,17,0.3709,17.06,0.1258,0.4022,FALSE
675,unit>order>def>name>family>stage,,0.2504,21,0.423,12.67,0.0759,0.3835,FALSE
676,unit>order>def>name>stage>family,,0.2329,19,0.4121,14.26,0.0954,0.4424,FALSE
677,unit>order>def>stage>family>name,,0.2097,17,0.3471,17.71,0.1258,0.4386,FALSE
678,unit>order>def>stage>name>family,,0.2801,21,0.3926,13.33,0.1236,0.4124,FALSE
679,unit>order>family>def>name>stage,,0.2229,16,0.3796,17.88,0.115,0.4328,FALSE
680,unit>order>family>def>stage>name,,0.2331,19,0.3818,15,0.1171,0.3666,FALSE
681,unit>order>family>name>def>stage,,0.3381,29,0.3471,10.38,0.0781,0.56,FALSE
682,unit>order>family>name>stage>def,,0.2727,20,0.3471,15.05,0.1258,0.4801,FALSE
683,unit>order>family>stage>def>name,,0.2134,17,0.4425,15.12,0.0976,0.3365,FALSE
684,unit>order>family>stage>name>def,,0.326,23,0.4143,11.74,0.0803,0.4814,FALSE
685,unit>order>name>def>family>stage,,0.3121,26,0.3709,11.15,0.0759,0.5704,FALSE
686,unit>order>name>def>stage>family,,0.3243,27,0.3688,10.78,0.0694,0.5074,FALSE
687,unit>order>name>family>def>stage,,0.3065,23,0.3905,12.22,0.0954,0.4903,FALSE
688,unit>order>name>family>stage>def,,0.2895,19,0.4252,13.95,0.0803,0.4155,FALSE
689,unit>order>name>stage>def>family,,0.3017,22,0.4121,12.32,0.0716,0.4746,FALSE
690,unit>order>name>stage>family>def,,0.2774,19,0.3905,14.79,0.0976,0.4368,FALSE
691,unit>order>stage>def>family>name,,0.2858,22,0.462,11.27,0.0651,0.3423,FALSE
692,unit>order>stage>def>name>family,,0.3082,22,0.5033,10.41,0.0651,0.3466,FALSE
693,unit>order>stage>family>def>name,,0.2153,18,0.3796,15.89,0.1367,0.3766,FALSE
694,unit>order>stage>family>name>def,,0.3196,25,0.4056,10.96,0.0738,0.4698,FALSE
695,unit>order>stage>name>def>family,,0.3031,27,0.3406,11.26,0.0716,0.5169,FALSE
696,unit>order>stage>name>family>def,,0.2913,21,0.3905,13.38,0.0954,0.4443,FALSE
697,unit>stage>def>family>name>order,,0.0777,3,0.0781,141.67,0.8937,-0.0285,TRUE
698,unit>stage>def>family>order>name,,0.09,3,0.0629,144,0.9089,-0.0253,TRUE
699,unit>stage>def>name>family>order,,0.1348,2,0.0846,211,0.9002,-0.0241,TRUE
700,unit>stage>def>name>order>family,,0.2581,20,0.4946,11.65,0.0933,0.3379,FALSE
701,unit>stage>def>order>family>name,,0.1335,2,0.0911,209.5,0.8915,-0.0259,TRUE
702,unit>stage>def>order>name>family,,0.084,3,0.0933,139.33,0.8807,-0.0308,TRUE
703,unit>stage>family>def>name>order,,0.2303,18,0.4512,14.06,0.1106,0.3519,FALSE
704,unit>stage>family>def>order>name,,0.2347,18,0.4208,14.83,0.0846,0.3408,FALSE
705,unit>stage>family>name>def>order,,0.2986,29,0.3406,10.48,0.0759,0.5263,FALSE
706,unit>stage>family>name>order>def,,0.2677,23,0.3384,13.26,0.1106,0.4567,FALSE
707,unit>stage>family>order>def>name,,0.2026,16,0.4013,17.25,0.1041,0.3758,FALSE
