trait_name,trait_def,ontology,term_id,term_label,term_definition,similarity,above_threshold
lipid content,mean lipid content per individual,OBA,HP:0009058,Increased muscle lipid content,Increased neutral lipid content may be observed on muscle biopsies specimen with the specific staining of Sudan black or oil red O techniques by optic microscopy.,0.4231,FALSE
lipid content,mean lipid content per individual,OBA,OBA:2045435,stomach content pH,The acidity of a stomach lumen.,0.2348,FALSE
lipid content,mean lipid content per individual,OBA,OBA:VT0010714,milk zinc content,The amount of a zinc atom when measured in milk.,0.3456,FALSE
lipid content,mean lipid content per individual,OBA,OBA:VT0001547,lipid amount,The amount of a lipid when measured in anatomical entity.,0.6059,FALSE
lipid content,mean lipid content per individual,OBA,OBA:2045301,erythrocyte hemoglobin content trait,The amount of a hemoglobin when measured in erythrocyte.,0.2222,FALSE
lipid content,mean lipid content per individual,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).",0.3019,FALSE
lipid content,mean lipid content per individual,PATO,CHEBI:18059,lipid,"'Lipids' is a loosely defined term for substances of biological origin that are soluble in nonpolar solvents. They consist of saponifiable lipids, such as glycerides (fats and oils) and phospholipids, as well as nonsaponifiable lipids, principally steroids.",0.3929,FALSE
lipid content,mean lipid content per individual,PATO,GO:0006869,lipid transport,"The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.",0.389,FALSE
lipid content,mean lipid content per individual,PATO,GO:0010876,lipid localization,"Any process in which a lipid is transported to, or maintained in, a specific location.",0.3794,FALSE
lipid content,mean lipid content per individual,PATO,GO:0006629,lipid metabolic process,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.",0.3668,FALSE
protein content,mean protein content per individual,OBA,OBA:2045435,stomach content pH,The acidity of a stomach lumen.,0.2072,FALSE
protein content,mean protein content per individual,OBA,OBA:VT0010714,milk zinc content,The amount of a zinc atom when measured in milk.,0.4073,FALSE
protein content,mean protein content per individual,OBA,OBA:2045301,erythrocyte hemoglobin content trait,The amount of a hemoglobin when measured in erythrocyte.,0.2772,FALSE
protein content,mean protein content per individual,OBA,OBA:2045305,reticulocyte corpuscular hemoglobin content attribute,The amount of a hemoglobin when measured in reticulocyte.,0.2548,FALSE
protein content,mean protein content per individual,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).",0.3099,FALSE
protein content,mean protein content per individual,PATO,PATO:0015009,humidity,A quality inhering in air by virtue of the partial pressure exerted by the bearer's water vapour content.,0.188,FALSE
protein content,mean protein content per individual,PATO,PATO:0001540,glutinous,An amylose composition quality inhering in an bearer by virtue of the bearer's having negligible or no amylose content.,0.2586,FALSE
protein content,mean protein content per individual,PATO,PATO:0001541,non-glutinous,An amylose composition quality inhering in an bearer by virtue of the bearer's having high amount of amylose content.,0.2856,FALSE
protein content,mean protein content per individual,PATO,PATO:0103004,total amount,"A quantitative quality that represents the sum of all 'amount' qualities of the component parts that constitute a whole entity. The total amount quality inheres in the whole entity and reflects the aggregate measure across all its components, such that changes in the amount of individual components may not necessarily correspond to equivalent changes in the total amount of the whole.

Example of usage: ""blood total protein amount"" represents the sum of the amounts of all protein types in blood, while ""blood leptin amount"" represents only the amount of leptin proteins. An increase in blood leptin amount does not necessarily mean an increase in blood total protein amount, as other protein levels may decrease simultaneously.",0.3169,FALSE
glycogen content,mean glycogen content per individual,OBA,HP:0006568,Increased hepatic glycogen content,Glycogen acts as secondary long-term energy storage in the liver and other organs. Its intracellular concentration can be increased in some disease states such as obesity.,0.5075,FALSE
glycogen content,mean glycogen content per individual,OBA,HP:0012269,Abnormal muscle glycogen content,Glycogen functions as a secondary short term energy storage in muscle.,0.448,FALSE
glycogen content,mean glycogen content per individual,OBA,OBA:VT0002713,glycogen catabolism trait,The quality of a glycogen catabolic process.,0.4893,FALSE
glycogen content,mean glycogen content per individual,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).",0.2898,FALSE
glycogen content,mean glycogen content per individual,PATO,PATO:0015009,humidity,A quality inhering in air by virtue of the partial pressure exerted by the bearer's water vapour content.,0.0819,FALSE
glycogen content,mean glycogen content per individual,PATO,PATO:0001540,glutinous,An amylose composition quality inhering in an bearer by virtue of the bearer's having negligible or no amylose content.,0.3067,FALSE
glycogen content,mean glycogen content per individual,PATO,PATO:0001541,non-glutinous,An amylose composition quality inhering in an bearer by virtue of the bearer's having high amount of amylose content.,0.3271,FALSE
glycogen content,mean glycogen content per individual,PATO,UBERON:0004088,orbital region,"The subdivision of the face that includes the eye (eyeball plus adnexa such as eyelids) and the orbit of the skull and associated parts of the face such as the eyebrows, if present.",0.0588,FALSE
ovariole number,mean number of ovarioles per individual,OBA,OBA:0000112,myofibril number,The amount of a myofibril.,0.2393,FALSE
ovariole number,mean number of ovarioles per individual,OBA,OBA:2045279,number of teeth,The has number of of a dentition.,0.2968,FALSE
ovariole number,mean number of ovarioles per individual,OBA,OBA:0003174,retina altered number of,The altered number of of a retina.,0.3191,FALSE
ovariole number,mean number of ovarioles per individual,OBA,OBA:0003275,platelet altered number of,The altered number of of a platelet.,0.2251,FALSE
ovariole number,mean number of ovarioles per individual,OBA,OBA:0003397,oligodendrocyte altered number of,The altered number of of a oligodendrocyte.,0.3088,FALSE
ovariole number,mean number of ovarioles per individual,PATO,PATO:0001555,has number of,"The number of parts of a particular type that the bearer entity has. This is a relational quality, and thus holds between two entities: the bearer of the quality, and the type of parts.",0.213,FALSE
ovariole number,mean number of ovarioles per individual,PATO,PATO:0002083,altered number of,Having extra or fewer parts.,0.2119,FALSE
ovariole number,mean number of ovarioles per individual,PATO,PATO:0005001,variability of count,A variability quality inhering in the bearer by virtue of the bearer having a variable number or count of an entity.,0.2657,FALSE
ovariole number,mean number of ovarioles per individual,PATO,PATO:0002001,has fewer parts of type,Example: [E=hand Q=has_fewer_parts_of_type E2=digit] - applies to an organism that has no less fingers than is normal for organisms of that type.,0.2406,FALSE
ovariole number,mean number of ovarioles per individual,PATO,PATO:0002002,has extra parts of type,"In polydactyly, the bearer of the quality is the hand, and the entity type being counted is 'finger'. In EQ syntax, E=hand, Q=<this> E2=finger.",0.2285,FALSE
resource consumption rate,mean lifetime prey consumed,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.,0.2002,FALSE
resource consumption rate,mean lifetime prey consumed,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.,0.2074,FALSE
resource consumption rate,mean lifetime prey consumed,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.,0.2955,FALSE
resource consumption rate,mean lifetime prey consumed,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.,0.1476,FALSE
resource consumption rate,mean lifetime prey consumed,OBA,OBA:0002011,micturition rate,The rate of a micturition.,0.1274,FALSE
resource consumption rate,mean lifetime prey consumed,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.,0.2118,FALSE
resource consumption rate,mean lifetime prey consumed,PATO,PATO:0000911,decreased rate,A rate which is relatively low.,0.1631,FALSE
resource consumption rate,mean lifetime prey consumed,PATO,PATO:0000912,increased rate,A rate which is relatively high.,0.1577,FALSE
resource consumption rate,mean lifetime prey consumed,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.,0.1609,FALSE
resource consumption rate,mean lifetime prey consumed,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.,0.0565,FALSE
survival,percent surviving life stage (across all humidity levels),OBA,OBA:2044232,level of survival motor neuron protein in blood serum,The amount of a survival motor neuron protein when measured in blood serum.,0.2266,FALSE
survival,percent surviving life stage (across all humidity levels),OBA,OBA:2059004,level of survival motor neuron protein (human) in cerebrospinal fluid,The amount of a survival motor neuron protein (human) when measured in cerebrospinal fluid.,0.2598,FALSE
survival,percent surviving life stage (across all humidity levels),OBA,OBA:2050909,level of survival of motor neuron-related-splicing factor 30 in blood,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood.,0.2408,FALSE
survival,percent surviving life stage (across all humidity levels),OBA,OBA:2043556,level of survival of motor neuron-related-splicing factor 30 in blood serum,The amount of a survival of motor neuron-related-splicing factor 30 when measured in blood serum.,0.2421,FALSE
survival,percent surviving life stage (across all humidity levels),OBA,OBA:2056414,level of survival of motor neuron-related-splicing factor 30 (human) in cerebrospinal fluid,The amount of a survival of motor neuron-related-splicing factor 30 (human) when measured in cerebrospinal fluid.,0.2585,FALSE
survival,percent surviving life stage (across all humidity levels),PATO,PATO:0000718,lethal (sensu genetics),A viability quality inhering in a population by virtue of the bearer's long term survival inability.,0.332,FALSE
survival,percent surviving life stage (across all humidity levels),PATO,PATO:0000719,viable,A viability quality inhering in a bearer or a population by virtue of the bearer's ability to survive or the long term survival ability of a given population.,0.325,FALSE
survival,percent surviving life stage (across all humidity levels),PATO,GO:0043066,negative regulation of apoptotic process,"This term should only be used when it is not possible to determine which phase or subtype of the apoptotic process is negatively regulated by a gene product. Whenever detailed information is available, the more granular children terms should be used.",0.1718,FALSE
survival,percent surviving life stage (across all humidity levels),PATO,GO:0043524,negative regulation of neuron apoptotic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process in neurons.",0.1651,FALSE
survival,percent surviving life stage (across all humidity levels),PATO,CHEBI:38323,cholinergic drug,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons.",0.10780000000000001,FALSE
hatch time,mean duration of life stage,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.,0.3777,FALSE
hatch time,mean duration of life stage,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.,0.0913,FALSE
hatch time,mean duration of life stage,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.,0.2054,FALSE
hatch time,mean duration of life stage,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.,0.2293,FALSE
hatch time,mean duration of life stage,PATO,PATO:0000165,time,A quality in which events occur in sequence.,0.1569,FALSE
hatch time,mean duration of life stage,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.,0.3789,FALSE
hatch time,mean duration of life stage,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.,0.3653,FALSE
hatch time,mean duration of life stage,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.,0.276,FALSE
hatch time,mean duration of life stage,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition.",0.2007,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,OBA,OBA:0003853,blastocyst hatching amount,The amount of a blastocyst hatching.,0.498,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,OBA,OBA:0003854,blastocyst hatching onset quality,The onset quality of a blastocyst hatching.,0.4245,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,OBA,GO:0001835,blastocyst hatching,"See also the Anatomical Dictionary for Mouse Development ontology terms 'TS4, zona pellucida ; EMAP:22' and 'TS5, embryo ; EMAP:23'.",0.2284,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,PATO,GO:0009792,embryo development ending in birth or egg hatching,"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell.",0.3924,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,PATO,UBERON:0000092,post-embryonic stage,"Stage succeeding embryo, including mature structure.",0.27,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,PATO,PATO:0001524,intrasonic,A sound frequency in the range of 0-20 Hz.,0.1077,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,PATO,PATO:0001526,ultrasonic,A sound frequency in the range of 20 000 + Hz.,0.1292,FALSE
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,PATO,PATO:0001292,full-spectrum EM radiation quality,An EM radiation quality that is independent of the EM wavelength range.,0.0886,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.,0.2217,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.,0.1919,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.,0.1334,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.,0.1444,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,PATO,PATO:0000165,time,A quality in which events occur in sequence.,0.0949,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.,0.2552,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.,0.2684,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.,0.2075,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition.",0.1318,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.,0.2447,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.,0.1277,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.,0.1348,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.,0.1847,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,PATO,PATO:0000165,time,A quality in which events occur in sequence.,0.0646,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.,0.2293,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.,0.2348,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.,0.199,FALSE
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition.",0.0936,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,OBA,OBA:2040442,level of heat shock protein 105 kDa in blood serum,The amount of a heat shock protein 105 kDa when measured in blood serum.,0.2961,FALSE
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,OBA,OBA:2041950,level of heat shock protein beta-3 in blood serum,The amount of a heat shock protein beta-3 when measured in blood serum.,0.2812,FALSE
