order_id,field_1,field_2,field_3,order_string,combination_key
252,phylum,order,family,phylum>order>family,order+family+phylum
253,family,order,stage,family>order>stage,order+family+stage
254,family,stage,order,family>stage>order,order+family+stage
255,order,family,stage,order>family>stage,order+family+stage
256,order,stage,family,order>stage>family,order+family+stage
257,stage,family,order,stage>family>order,order+family+stage
258,stage,order,family,stage>order>family,order+family+stage
259,class,order,stage,class>order>stage,order+stage+class
260,class,stage,order,class>stage>order,order+stage+class
261,order,class,stage,order>class>stage,order+stage+class
262,order,stage,class,order>stage>class,order+stage+class
263,stage,class,order,stage>class>order,order+stage+class
264,stage,order,class,stage>order>class,order+stage+class
265,order,phylum,stage,order>phylum>stage,order+stage+phylum
266,order,stage,phylum,order>stage>phylum,order+stage+phylum
267,phylum,order,stage,phylum>order>stage,order+stage+phylum
268,phylum,stage,order,phylum>stage>order,order+stage+phylum
269,stage,order,phylum,stage>order>phylum,order+stage+phylum
270,stage,phylum,order,stage>phylum>order,order+stage+phylum
271,class,phylum,stage,class>phylum>stage,stage+class+phylum
272,class,stage,phylum,class>stage>phylum,stage+class+phylum
273,phylum,class,stage,phylum>class>stage,stage+class+phylum
274,phylum,stage,class,phylum>stage>class,stage+class+phylum
275,stage,class,phylum,stage>class>phylum,stage+class+phylum
276,stage,phylum,class,stage>phylum>class,stage+class+phylum
277,class,phylum,unit,class>phylum>unit,unit+class+phylum
278,class,unit,phylum,class>unit>phylum,unit+class+phylum
279,phylum,class,unit,phylum>class>unit,unit+class+phylum
280,phylum,unit,class,phylum>unit>class,unit+class+phylum
281,unit,class,phylum,unit>class>phylum,unit+class+phylum
282,unit,phylum,class,unit>phylum>class,unit+class+phylum
283,class,family,unit,class>family>unit,unit+family+class
284,class,unit,family,class>unit>family,unit+family+class
285,family,class,unit,family>class>unit,unit+family+class
286,family,unit,class,family>unit>class,unit+family+class
287,unit,class,family,unit>class>family,unit+family+class
288,unit,family,class,unit>family>class,unit+family+class
289,family,phylum,unit,family>phylum>unit,unit+family+phylum
290,family,unit,phylum,family>unit>phylum,unit+family+phylum
291,phylum,family,unit,phylum>family>unit,unit+family+phylum
292,phylum,unit,family,phylum>unit>family,unit+family+phylum
293,unit,family,phylum,unit>family>phylum,unit+family+phylum
294,unit,phylum,family,unit>phylum>family,unit+family+phylum
295,family,stage,unit,family>stage>unit,unit+family+stage
296,family,unit,stage,family>unit>stage,unit+family+stage
297,stage,family,unit,stage>family>unit,unit+family+stage
298,stage,unit,family,stage>unit>family,unit+family+stage
299,unit,family,stage,unit>family>stage,unit+family+stage
300,unit,stage,family,unit>stage>family,unit+family+stage
301,class,order,unit,class>order>unit,unit+order+class
302,class,unit,order,class>unit>order,unit+order+class
303,order,class,unit,order>class>unit,unit+order+class
304,order,unit,class,order>unit>class,unit+order+class
305,unit,class,order,unit>class>order,unit+order+class
306,unit,order,class,unit>order>class,unit+order+class
307,family,order,unit,family>order>unit,unit+order+family
308,family,unit,order,family>unit>order,unit+order+family
309,order,family,unit,order>family>unit,unit+order+family
310,order,unit,family,order>unit>family,unit+order+family
311,unit,family,order,unit>family>order,unit+order+family
312,unit,order,family,unit>order>family,unit+order+family
313,order,phylum,unit,order>phylum>unit,unit+order+phylum
314,order,unit,phylum,order>unit>phylum,unit+order+phylum
315,phylum,order,unit,phylum>order>unit,unit+order+phylum
316,phylum,unit,order,phylum>unit>order,unit+order+phylum
317,unit,order,phylum,unit>order>phylum,unit+order+phylum
318,unit,phylum,order,unit>phylum>order,unit+order+phylum
319,order,stage,unit,order>stage>unit,unit+order+stage
320,order,unit,stage,order>unit>stage,unit+order+stage
321,stage,order,unit,stage>order>unit,unit+order+stage
322,stage,unit,order,stage>unit>order,unit+order+stage
323,unit,order,stage,unit>order>stage,unit+order+stage
324,unit,stage,order,unit>stage>order,unit+order+stage
325,class,stage,unit,class>stage>unit,unit+stage+class
326,class,unit,stage,class>unit>stage,unit+stage+class
327,stage,class,unit,stage>class>unit,unit+stage+class
328,stage,unit,class,stage>unit>class,unit+stage+class
329,unit,class,stage,unit>class>stage,unit+stage+class
330,unit,stage,class,unit>stage>class,unit+stage+class
331,phylum,stage,unit,phylum>stage>unit,unit+stage+phylum
332,phylum,unit,stage,phylum>unit>stage,unit+stage+phylum
333,stage,phylum,unit,stage>phylum>unit,unit+stage+phylum
334,stage,unit,phylum,stage>unit>phylum,unit+stage+phylum
335,unit,phylum,stage,unit>phylum>stage,unit+stage+phylum
336,unit,stage,phylum,unit>stage>phylum,unit+stage+phylum
