"ID","n_points","AIC_quad","BIC_quad","AIC_cubic","BIC_cubic","AIC_logistic","BIC_logistic","converged_logistic","N0_logistic","Nmax_logistic","rmax_logistic","AIC_gompertz","BIC_gompertz","converged_gompertz","N0_gompertz","Nmax_gompertz","rmax_gompertz","tlag_gompertz","best_AIC","best_BIC","Species","Temp","Medium","PopBio_units"
20,29,16.4674881514257,21.9366714713716,18.4342615443074,25.2707406942397,34.1170029724719,39.5861862924178,TRUE,-4.44075609748433,-4.94290537277513,0.0100519296513922,NA,NA,FALSE,NA,NA,NA,NA,"Quadratic","Quadratic","Klebsiella.pneumonia..RDA.R.",5,"TSB","OD_595"
21,10,37.157623611001,38.3679639829772,36.2797986832155,37.7927241481858,NA,NA,FALSE,NA,NA,NA,42.5507692685617,44.0636947335319,TRUE,-7.06511806198446,-5.90089123648865,1e-06,151.524814176971,"Cubic","Cubic","Bacillus.pumilus..RDA.R.",5,"TSB","OD_595"
22,29,-36.2878896740007,-30.8187063540548,-64.8262246336876,-57.9897454837552,-43.8128487441582,-38.3436654242123,TRUE,-3.87136936777975,-1.19278178208197,0.0104557892468974,-25.8865909069217,-19.0501117569894,TRUE,-4.04323769025739,-1.23151442586277,0.0102078821312947,0,"Cubic","Cubic","Clavibacter.michiganensis..RDA.R.",5,"TSB","OD_595"
23,22,35.6926585256736,40.0568283391068,18.862605457095,24.3178177238866,-0.0762093336024598,4.2879604798308,TRUE,-4.23228306276422,-1.18535962911626,0.0663530674814498,7.61603142704103,13.0712436938326,TRUE,-4.58114646862413,-1.20582879057577,0.0822793678841342,0,"Logistic","Logistic","Chryseobacterium.balustinum",15,"TSB","OD_595"
24,30,69.0073064710971,74.6120959977457,60.2814191281469,67.2874060364577,85.2708731889715,90.8756627156202,TRUE,-3.36197666850887,-0.713792392531556,19688433960986.4,NA,NA,FALSE,NA,NA,NA,NA,"Cubic","Cubic","Enterobacter.sp.",15,"TSB","OD_595"
25,26,61.8739214271147,66.9063075792006,43.5031947595343,49.7936774496417,23.2975247227686,28.3299108748545,TRUE,-5.41450340311524,-0.856337637960218,0.292081811849722,25.1904845055213,31.4809671956287,TRUE,-5.18147345490878,-0.852950452563324,0.29586645926104,1.12181688994658,"Logistic","Logistic","Pantoea.agglomerans.1",15,"TSB","OD_595"
26,26,69.6726439184656,74.7050300705515,55.1955118926752,61.4859945827826,39.9190949232903,44.9514810753763,TRUE,-5.77648280394511,-1.17569170602286,0.324480947197403,41.4080015096214,47.6984841997288,TRUE,-4.54046886323929,-1.17753217957182,0.722363127169406,6.79540392950234,"Logistic","Logistic","Pantoea.agglomerans.2",15,"TSB","OD_595"
27,22,25.1707220210075,29.5348918344407,1.19714241741032,6.6523546842019,11.6277030734684,15.9918728869017,TRUE,-4.93185732977451,-2.06756913240639,0.0530322558062946,15.3157531548937,20.7709654216853,TRUE,-5.04178021647252,-2.06993859051934,0.0502596039687747,0,"Cubic","Cubic","Bacillus.pumilus",15,"TSB","OD_595"
28,24,44.3087902575234,49.0210055789152,27.3238962877449,33.2141654394846,24.571862574809,29.2840778962007,TRUE,-3.83700195750806,-0.665083168941455,0.0690822379792044,29.4748589804884,35.3651281322281,TRUE,-3.97802352909795,-0.666819560222053,0.0695067177373392,0,"Logistic","Logistic","Clavibacter.michiganensis",15,"TSB","OD_595"
29,23,51.1025173426731,55.6444942063897,28.445821742021,34.1232928216667,4.36520048746149,8.90717735117809,TRUE,-5.13868437023681,-1.58139567060644,0.092790709216068,8.58941231352974,14.2668833931755,TRUE,-5.24807915635123,-1.58025511974487,0.0928951220851112,0,"Logistic","Logistic","Pseudomonas.fluorescens.1",15,"TSB","OD_595"
30,23,42.0359300340235,46.5779068977401,27.2387969131556,32.9162679928013,-18.9204759189938,-14.3784990552772,TRUE,-4.55668253305286,-1.37705958087897,0.107775180191348,-10.8885709540949,-5.21109987444912,TRUE,-4.67688477108418,-1.37587945105169,0.104771117166587,0,"Logistic","Logistic","Pseudomonas.fluorescens.2",15,"TSB","OD_595"
31,22,42.744335178754,47.1085049921872,36.00849623696,41.4637085037515,-7.98861420850075,-3.62444439506748,TRUE,-4.80597731986836,-1.62410694407361,0.310106199630575,-6.49020360927846,-1.03499134248688,TRUE,-5.01585165579453,-1.62116090319267,0.293583841559913,0,"Logistic","Logistic","Acinetobacter.clacoaceticus.1",15,"TSB","OD_595"
32,25,62.25453404428,67.1300373437528,53.6620360508195,59.7564151751605,24.7022983419991,29.5778016414719,TRUE,-8.33619739092701,-2.01483032566945,1.42836613629009,24.2834033611474,30.3777824854884,TRUE,-8.14883282155409,-1.99551848600663,1.35363152049357,0,"Gompertz","Logistic","Acinetobacter.clacoaceticus.2",15,"TSB","OD_595"
33,23,45.6105219193024,50.152498783019,35.6381346197095,41.3156056993552,14.6548314807377,19.1968083444543,TRUE,-5.48282586054282,-1.70079451230989,0.235570796359143,15.2598511850425,20.9373222646883,TRUE,-5.50414037001075,-1.69098875906388,0.214333319317532,0,"Logistic","Logistic","Stenotrophomonas.maltophilia.1",15,"TSB","OD_595"
